lm0_x,lm0_y,lm0_z,lm1_x,lm1_y,lm1_z,lm2_x,lm2_y,lm2_z,lm3_x,lm3_y,lm3_z,lm4_x,lm4_y,lm4_z,lm5_x,lm5_y,lm5_z,lm6_x,lm6_y,lm6_z,lm7_x,lm7_y,lm7_z,lm8_x,lm8_y,lm8_z,lm9_x,lm9_y,lm9_z,lm10_x,lm10_y,lm10_z,lm11_x,lm11_y,lm11_z,lm12_x,lm12_y,lm12_z,lm13_x,lm13_y,lm13_z,lm14_x,lm14_y,lm14_z,lm15_x,lm15_y,lm15_z,lm16_x,lm16_y,lm16_z,lm17_x,lm17_y,lm17_z,lm18_x,lm18_y,lm18_z,lm19_x,lm19_y,lm19_z,lm20_x,lm20_y,lm20_z
0.0,0.0,0.0,-0.058979809284210205,0.09398829936981201,-0.030580001088026165,-0.15144675970077515,0.12870877981185913,-0.044921377809885144,-0.217742919921875,0.09909719228744507,-0.05970708853209317,-0.2485317587852478,0.017772257328033447,-0.06678663766587078,-0.21055424213409424,-0.027731001377105713,-0.008814279126170277,-0.23512804508209229,-0.05177497863769531,-0.04694441160762608,-0.17497950792312622,-0.015996158123016357,-0.06465262001955807,-0.13126134872436523,0.013596057891845703,-0.06765965199673474,-0.1881699562072754,-0.10968047380447388,-0.00838173473829329,-0.2031087875366211,-0.12759512662887573,-0.05760726905072033,-0.13584113121032715,-0.06672543287277222,-0.0738862959166795,-0.09404313564300537,-0.01833975315093994,-0.0705010426660806,-0.1561320424079895,-0.17910254001617432,-0.014811367863956093,-0.16814422607421875,-0.19359415769577026,-0.0650330615659982,-0.11021304130554199,-0.1119493842124939,-0.06609032875502407,-0.07400381565093994,-0.04630076885223389,-0.048909077556970715,-0.12078028917312622,-0.23682460188865662,-0.02291554598713219,-0.17555707693099976,-0.29072844982147217,-0.04968520081246197,-0.20990538597106934,-0.3333505094051361,-0.051339877905490994,-0.24570965766906738,-0.3724457025527954,-0.043498164178970455
0.0,0.0,0.0,-0.06159466505050659,0.09265559911727905,-0.029549593782576267,-0.15450167655944824,0.12589633464813232,-0.042707350781711284,-0.22025370597839355,0.0992116928100586,-0.05500520088389749,-0.24887454509735107,0.015031754970550537,-0.05970991843059892,-0.22312337160110474,-0.0444566011428833,-0.011872801675053779,-0.22970789670944214,-0.05304974317550659,-0.04169302128866548,-0.17041271924972534,-0.01876622438430786,-0.05449009754374856,-0.12645262479782104,0.014254331588745117,-0.05617867105320329,-0.20106381177902222,-0.12852340936660767,-0.010676272890123073,-0.1941048502922058,-0.12638193368911743,-0.05122055553511018,-0.128909170627594,-0.06589651107788086,-0.06568868525937432,-0.08660697937011719,-0.014626085758209229,-0.06403965570643777,-0.16400188207626343,-0.19491320848464966,-0.014898615634592716,-0.15851908922195435,-0.18696528673171997,-0.060612444511207286,-0.10234707593917847,-0.10545319318771362,-0.06250067122891778,-0.06600707769393921,-0.04068475961685181,-0.048219670286925975,-0.12129712104797363,-0.24644821882247925,-0.020412402904185,-0.16629326343536377,-0.30088481307029724,-0.047822241416724864,-0.19511640071868896,-0.34319543838500977,-0.04982547157123918,-0.22495508193969727,-0.37829259037971497,-0.04276805066183442
0.0,0.0,0.0,-0.0648270845413208,0.0902678370475769,-0.029518078506100665,-0.15747541189193726,0.11743825674057007,-0.04220356555293847,-0.22167891263961792,0.08787894248962402,-0.05356446416686822,-0.24787384271621704,0.0025320053100585938,-0.05707880245159913,-0.22473609447479248,-0.06602662801742554,-0.010419152170527468,-0.22547143697738647,-0.06324464082717896,-0.038350643083560954,-0.16798627376556396,-0.024341702461242676,-0.049972289666641245,-0.12796640396118164,0.01145869493484497,-0.05161093311022569,-0.20049214363098145,-0.14857995510101318,-0.008755336940396319,-0.1874191164970398,-0.13096868991851807,-0.04574209959815789,-0.12467336654663086,-0.06810873746871948,-0.058901881292570124,-0.08809250593185425,-0.019396185874938965,-0.05804273249219705,-0.1610811948776245,-0.21132010221481323,-0.012481521308529864,-0.15238803625106812,-0.19595962762832642,-0.05663712830852319,-0.09726285934448242,-0.11027252674102783,-0.057095916435230265,-0.06408470869064331,-0.04424774646759033,-0.0429739444107895,-0.11530089378356934,-0.2572330832481384,-0.017598667606819163,-0.15583163499832153,-0.30906394124031067,-0.045182892546165476,-0.1794682741165161,-0.3571889400482178,-0.0466566434652691,-0.2059633731842041,-0.4012470245361328,-0.03944331915687371
0.0,0.0,0.0,-0.06796008348464966,0.08750754594802856,-0.031969016612720225,-0.15999257564544678,0.10953664779663086,-0.04553184491510365,-0.2222728729248047,0.0760762095451355,-0.05666610059256527,-0.2467648983001709,-0.009849011898040771,-0.05975462702031109,-0.22941458225250244,-0.09001731872558594,-0.013795801633250449,-0.2220768928527832,-0.07435142993927002,-0.03995412421340916,-0.16707050800323486,-0.031247854232788086,-0.05135216769690487,-0.13058125972747803,0.008100748062133789,-0.053868500710677836,-0.20216304063796997,-0.17372703552246094,-0.011263820537578795,-0.18040359020233154,-0.14092576503753662,-0.04553949293608639,-0.1252649426460266,-0.07057207822799683,-0.058795688868713114,-0.09278625249862671,-0.01826399564743042,-0.05957421866173718,-0.1578514575958252,-0.22998851537704468,-0.0140212878670809,-0.14039063453674316,-0.19865989685058594,-0.05847445708627674,-0.09290409088134766,-0.10572636127471924,-0.061214612991761896,-0.06418412923812866,-0.03813982009887695,-0.04958407041544888,-0.10718107223510742,-0.2648908495903015,-0.01819320228810284,-0.14016634225845337,-0.31413474678993225,-0.04851496052856419,-0.15944570302963257,-0.3639414608478546,-0.05182430353875134,-0.17980486154556274,-0.41181543469429016,-0.045902734817218516
0.0,0.0,0.0,-0.07474136352539062,0.07602041959762573,-0.030076953228274306,-0.16588342189788818,0.08538556098937988,-0.04307312203542324,-0.22477436065673828,0.04488992691040039,-0.05324890894786449,-0.24538451433181763,-0.045672714710235596,-0.055641212146440466,-0.22982990741729736,-0.1330399513244629,-0.015115733835557421,-0.21386396884918213,-0.09689599275588989,-0.039803777467170676,-0.16139405965805054,-0.04339289665222168,-0.05189589096204372,-0.12751692533493042,-0.00229489803314209,-0.05560966266290279,-0.19741308689117432,-0.21106135845184326,-0.013034622762063464,-0.16832703351974487,-0.15210473537445068,-0.042540863733449896,-0.12013500928878784,-0.07558727264404297,-0.054405980389276465,-0.09051752090454102,-0.02475881576538086,-0.05612599162355991,-0.14811837673187256,-0.25563186407089233,-0.01573227589921089,-0.12373614311218262,-0.19801479578018188,-0.0562824798931274,-0.08319282531738281,-0.10387945175170898,-0.058803052287260016,-0.057301878929138184,-0.04100501537322998,-0.0488950429667625,-0.09358900785446167,-0.2767254114151001,-0.019848850201526602,-0.11628031730651855,-0.32311004400253296,-0.048638396542230566,-0.13144069910049438,-0.36908024549484253,-0.0516479281891975,-0.14658313989639282,-0.41259142756462097,-0.046135787497917136
0.0,0.0,0.0,-0.07936519384384155,0.059530675411224365,-0.02633820300690104,-0.17060363292694092,0.06160646677017212,-0.039521467068709626,-0.2297731637954712,0.02001476287841797,-0.05098975090078284,-0.24343985319137573,-0.07584589719772339,-0.056291628757037415,-0.2227189540863037,-0.16968709230422974,-0.01194097859553267,-0.21011435985565186,-0.11488908529281616,-0.03882580263308455,-0.16452521085739136,-0.04877430200576782,-0.055988513061322465,-0.13710439205169678,-0.010666131973266602,-0.06285555301002432,-0.18736165761947632,-0.245417058467865,-0.011171355040289654,-0.1604430079460144,-0.16015630960464478,-0.036748170980729356,-0.1186102032661438,-0.07581359148025513,-0.04713561771205832,-0.09103190898895264,-0.02540111541748047,-0.04817093921593596,-0.13842010498046875,-0.2844817042350769,-0.015138212719477906,-0.1137816309928894,-0.19663923978805542,-0.04953723413638045,-0.08023148775100708,-0.10493385791778564,-0.051123764493979706,-0.05540299415588379,-0.04434484243392944,-0.041598264256037965,-0.08557456731796265,-0.3001817464828491,-0.020916255319036736,-0.09403848648071289,-0.30278950929641724,-0.042787142226018204,-0.09709930419921875,-0.3039100170135498,-0.04140141619137694,-0.09709841012954712,-0.30208706855773926,-0.03268076864770819
0.0,0.0,0.0,-0.07971066236495972,0.03966045379638672,-0.02333481018376915,-0.1680808663368225,0.028706073760986328,-0.035545974643355294,-0.2244044542312622,-0.01876091957092285,-0.04710790109766094,-0.23748695850372314,-0.11165285110473633,-0.052833456219559594,-0.21149307489395142,-0.20254558324813843,-0.0020671423053499893,-0.20249640941619873,-0.12113219499588013,-0.03431941908729641,-0.15910708904266357,-0.053620100021362305,-0.057803697557574196,-0.13319605588912964,-0.024823129177093506,-0.06948455390465824,-0.1764577031135559,-0.2762508988380432,-0.005040714656388445,-0.15960359573364258,-0.15404945611953735,-0.030622493149166985,-0.11868172883987427,-0.06825309991836548,-0.03948865425718395,-0.09543472528457642,-0.035458385944366455,-0.03951384839547245,-0.12961596250534058,-0.313734233379364,-0.013890315452044888,-0.10748624801635742,-0.16793256998062134,-0.040784507663374825,-0.07716059684753418,-0.08787786960601807,-0.03680294346941082,-0.06094568967819214,-0.06200689077377319,-0.026800047279721184,-0.07775485515594482,-0.32710880041122437,-0.026160899223214074,-0.06845235824584961,-0.20621877908706665,-0.04115074840319721,-0.0545884370803833,-0.12734615802764893,-0.03495083716643421,-0.047119200229644775,-0.09014177322387695,-0.024009380163079186
0.0,0.0,0.0,-0.0897667407989502,0.01082223653793335,-0.02046489112871086,-0.1718013882637024,-0.026484251022338867,-0.03106761866109764,-0.22158437967300415,-0.08505964279174805,-0.04095745229022896,-0.22405409812927246,-0.16890937089920044,-0.04500991993444359,-0.17767828702926636,-0.27278757095336914,-0.008056605726949329,-0.19427049160003662,-0.15527498722076416,-0.030666427247695083,-0.16085422039031982,-0.07356470823287964,-0.04555583887594139,-0.13659805059432983,-0.05872827768325806,-0.05429602184193527,-0.13245457410812378,-0.31350284814834595,-0.010529488817326182,-0.1390230655670166,-0.1462220549583435,-0.02712406919198429,-0.11572957038879395,-0.07736462354660034,-0.03170248635905182,-0.10215407609939575,-0.06334781646728516,-0.03402887054579651,-0.08248776197433472,-0.31383347511291504,-0.01728023731010353,-0.08967679738998413,-0.14195269346237183,-0.037096259676388854,-0.07547330856323242,-0.07889187335968018,-0.033726630293301696,-0.06675136089324951,-0.06074213981628418,-0.02866697826283371,-0.032230913639068604,-0.2893944978713989,-0.026876618646554107,-0.043862879276275635,-0.15757232904434204,-0.041188133441380614,-0.04960054159164429,-0.08650457859039307,-0.03935253762500679,-0.05407494306564331,-0.040969908237457275,-0.033731115542821044
0.0,0.0,0.0,-0.09866166114807129,-0.0015895962715148926,-0.021299078177207775,-0.17439138889312744,-0.06215780973434448,-0.031925781677955456,-0.21693366765975952,-0.12234163284301758,-0.041096943478578396,-0.22982221841812134,-0.18939846754074097,-0.043431176851981945,-0.15713822841644287,-0.3082820773124695,-0.011024916592532463,-0.19957947731018066,-0.1610087752342224,-0.03696637884854681,-0.16871744394302368,-0.07748150825500488,-0.05289227054595358,-0.14163422584533691,-0.08054196834564209,-0.06150061921357519,-0.1078309416770935,-0.31627458333969116,-0.014270555275970764,-0.15302437543869019,-0.12120229005813599,-0.034185371409648724,-0.12538188695907593,-0.05789977312088013,-0.03520180196642286,-0.10507774353027344,-0.07330268621444702,-0.033732204746002026,-0.06035393476486206,-0.2829112410545349,-0.022404636304372616,-0.10477983951568604,-0.09315758943557739,-0.04333935217141516,-0.0873715877532959,-0.04461461305618286,-0.03388567180513746,-0.07317936420440674,-0.06049579381942749,-0.023914172362083264,-0.015779316425323486,-0.22569680213928223,-0.03377525047540075,-0.05523031949996948,-0.07773792743682861,-0.04592783660768873,-0.05741375684738159,-0.026386797428131104,-0.03943357900857336,-0.054023146629333496,-0.017576217651367188,-0.029994673143619366
0.0,0.0,0.0,-0.09451699256896973,-0.03764140605926514,-0.01857394356261466,-0.1680789589881897,-0.10833781957626343,-0.029479634053814152,-0.21546876430511475,-0.16021114587783813,-0.03900336850415442,-0.23906242847442627,-0.21295654773712158,-0.04240969944726203,-0.1445515751838684,-0.3157203197479248,-0.01622292216848109,-0.2114403247833252,-0.1663498878479004,-0.04162036258708213,-0.18781906366348267,-0.0859261155128479,-0.05404241386781905,-0.16000032424926758,-0.09682232141494751,-0.06049274656902526,-0.09825176000595093,-0.29049402475357056,-0.021184239573585728,-0.1759137511253357,-0.0963945984840393,-0.04492458332310889,-0.1497628092765808,-0.0399666428565979,-0.04660002518426154,-0.1269640326499939,-0.0631556510925293,-0.045558393038618306,-0.059023380279541016,-0.23052555322647095,-0.02985367368887637,-0.13296771049499512,-0.04756730794906616,-0.05383320156465743,-0.11331194639205933,-0.006590127944946289,-0.04434964437018607,-0.09596985578536987,-0.030874311923980713,-0.03441121060382102,-0.025328874588012695,-0.15052026510238647,-0.040846824683058,-0.08940601348876953,-0.01639467477798462,-0.05751325938831542,-0.0864865779876709,0.016072213649749756,-0.052250050045358876,-0.07608979940414429,0.0071866512298583984,-0.04318314794431899
0.0,0.0,0.0,-0.08327394723892212,-0.06412070989608765,-0.012891075921629636,-0.16343510150909424,-0.13750731945037842,-0.025505219933961598,-0.2189953327178955,-0.1745133399963379,-0.03735217021164772,-0.2536969780921936,-0.21323621273040771,-0.04398382769284126,-0.1444411277770996,-0.3013538718223572,-0.028852987450932233,-0.2294425368309021,-0.15175485610961914,-0.05922503338513252,-0.20258814096450806,-0.08245038986206055,-0.07422041834649917,-0.16873347759246826,-0.10006958246231079,-0.08282600284871933,-0.10394585132598877,-0.2580920457839966,-0.036724581730936734,-0.1994333267211914,-0.07125455141067505,-0.0629392707472789,-0.16983336210250854,-0.027832865715026855,-0.06335430533943054,-0.1430789828300476,-0.05945312976837158,-0.06348632962760803,-0.07331573963165283,-0.17651647329330444,-0.04744119883832809,-0.1633092164993286,-0.004776418209075928,-0.07297670037803528,-0.13944149017333984,0.02304208278656006,-0.06441503704843399,-0.1162828803062439,-0.008068263530731201,-0.05717839242277023,-0.04722094535827637,-0.07962429523468018,-0.05945653037485954,-0.12439453601837158,0.03588294982910156,-0.08428041578588363,-0.1399369239807129,0.0619814395904541,-0.08673774392661926,-0.14977270364761353,0.05873137712478638,-0.08433263690528747
